测试,#genre#
CCTV-1, http://117.141.149.101:9901/tsfile/live/1010_1.m3u8
CCTV-2, http://117.141.149.101:9901/tsfile/live/1011_1.m3u8
CCTV-3, http://117.141.149.101:9901/tsfile/live/1012_1.m3u8
CCTV-4, http://117.141.149.101:9901/tsfile/live/1013_1.m3u8
CCTV-5, http://117.141.149.101:9901/tsfile/live/1014_1.m3u8
CCTV-5+, http://117.141.149.101:9901/tsfile/live/1015_1.m3u8
CCTV-6, http://117.141.149.101:9901/tsfile/live/0006_1.m3u8
CCTV-7, http://117.141.149.101:9901/tsfile/live/0007_1.m3u8
CCTV-8, http://117.141.149.101:9901/tsfile/live/0008_1.m3u8
CCTV-9, http://117.141.149.101:9901/tsfile/live/0009_1.m3u8
CCTV-10, http://117.141.149.101:9901/tsfile/live/0010_1.m3u8
CCTV-11, http://117.141.149.101:9901/tsfile/live/0011_1.m3u8
CCTV-12, http://117.141.149.101:9901/tsfile/live/0012_1.m3u8
CCTV-新闻, http://117.141.149.101:9901/tsfile/live/1016_1.m3u8
CCTV-少儿, http://117.141.149.101:9901/tsfile/live/1017_1.m3u8
CCTV-音乐, http://117.141.149.101:9901/tsfile/live/1018_1.m3u8
南宁公共频道, http://117.141.149.101:9901/tsfile/live/1000_1.m3u8
南宁都市生活, http://117.141.149.101:9901/tsfile/live/1001_1.m3u8
南宁影视娱乐, http://117.141.149.101:9901/tsfile/live/1002_1.m3u8
南宁新闻综合, http://117.141.149.101:9901/tsfile/live/1003_1.m3u8
广西卫视, http://117.141.149.101:9901/tsfile/live/0113_1.m3u8
广西都市, http://117.141.149.101:9901/tsfile/live/1005_1.m3u8
广西影视, http://117.141.149.101:9901/tsfile/live/1006_1.m3u8
广西新闻, http://117.141.149.101:9901/tsfile/live/1007_1.m3u8
西藏卫视, http://117.141.149.101:9901/tsfile/live/1008_1.m3u8
新疆卫视, http://117.141.149.101:9901/tsfile/live/1009_1.m3u8
东方卫视, http://117.141.149.101:9901/tsfile/live/0107_1.m3u8
北京卫视, http://117.141.149.101:9901/tsfile/live/0122_1.m3u8
浙江卫视, http://117.141.149.101:9901/tsfile/live/0124_1.m3u8
黑龙江卫视, http://117.141.149.101:9901/tsfile/live/0143_1.m3u8
江苏卫视, http://117.141.149.101:9901/tsfile/live/0127_1.m3u8
辽宁卫视, http://117.141.149.101:9901/tsfile/live/0121_1.m3u8
广东卫视, http://117.141.149.101:9901/tsfile/live/0125_1.m3u8
安徽卫视, http://117.141.149.101:9901/tsfile/live/0130_1.m3u8
江西卫视, http://117.141.149.101:9901/tsfile/live/0138_1.m3u8
山东卫视, http://117.141.149.101:9901/tsfile/live/0131_1.m3u8
湖南卫视, http://117.141.149.101:9901/tsfile/live/0128_1.m3u8
湖北卫视, http://117.141.149.101:9901/tsfile/live/0132_1.m3u8
深圳卫视, http://117.141.149.101:9901/tsfile/live/0126_1.m3u8
四川卫视, http://117.141.149.101:9901/tsfile/live/0123_1.m3u8
河南卫视, http://117.141.149.101:9901/tsfile/live/0139_1.m3u8
云南卫视, http://117.141.149.101:9901/tsfile/live/0119_1.m3u8
重庆卫视, http://117.141.149.101:9901/tsfile/live/0142_1.m3u8
天津卫视, http://117.141.149.101:9901/tsfile/live/0135_1.m3u8
山西卫视, http://117.141.149.101:9901/tsfile/live/0118_1.m3u8
贵州卫视, http://117.141.149.101:9901/tsfile/live/0120_1.m3u8
河北卫视, http://117.141.149.101:9901/tsfile/live/0117_1.m3u8
吉林卫视, http://117.141.149.101:9901/tsfile/live/0116_1.m3u8
中国教育台, http://117.141.149.101:9901/tsfile/live/1020_1.m3u8
内蒙古卫视, http://117.141.149.101:9901/tsfile/live/0109_1.m3u8
宁夏卫视, http://117.141.149.101:9901/tsfile/live/0112_1.m3u8
青海卫视, http://117.141.149.101:9901/tsfile/live/0140_1.m3u8
甘肃卫视, http://117.141.149.101:9901/tsfile/live/0141_1.m3u8
陕西卫视, http://117.141.149.101:9901/tsfile/live/0136_1.m3u8
海南卫视, http://117.141.149.101:9901/tsfile/live/1019_1.m3u8
测试59645,#genre#
南宁新闻综合, http://113.12.72.152:9901/tsfile/live/1040_1.m3u8
南宁都市生活, http://113.12.72.152:9901/tsfile/live/1041_1.m3u8
南宁影视娱乐, http://113.12.72.152:9901/tsfile/live/1042_1.m3u8
广西新闻, http://113.12.72.152:9901/tsfile/live/1043_1.m3u8
广西都市, http://113.12.72.152:9901/tsfile/live/1044_1.m3u8
